iter	Passed	Remaining
528	1473052	1311546
529	1476527	1309373
530	1479511	1306762
531	1482564	1304210
532	1485749	1301772
533	1489715	1300013
534	1492827	1297504
535	1496047	1295086
536	1499787	1293112
537	1502782	1290493
538	1505768	1287864
539	1508850	1285316
540	1512071	1282885
541	1514930	1280144
542	1518623	1278104
543	1522486	1276202
544	1525387	1273488
545	1528541	1270985
546	1532439	1269095
547	1535532	1266534
548	1538871	1264172
549	1542004	1261640
550	1545092	1259067
551	1548539	1256785
552	1551384	1254012
553	1554233	1251241
554	1557280	1248630
555	1560428	1246097
556	1563667	1243634
557	1566965	1241216
558	1570954	1239339
559	1574206	1236876
560	1577167	1234182
561	1580312	1231631
562	1583337	1228984
563	1586299	1226288
564	1590090	1224228
565	1593437	1221822
566	1597496	1219957
567	1600652	1217397
568	1603676	1214735
569	1606774	1212128
570	1609993	1209609
571	1613857	1207571
572	1617561	1205408
573	1620481	1202657
574	1623632	1200075
575	1627224	1197818
576	1630311	1195185
577	1633376	1192534
578	1636436	1189878
579	1639638	1187324
580	1642759	1184709
581	1646010	1182186
582	1649098	1179543
583	1652692	1177260
584	1656072	1174820
585	1659501	1172412
586	1664570	1171154
587	1668667	1169202
588	1672691	1167192
589	1676573	1165076
590	1680158	1162749
591	1683513	1160259
592	1686833	1157742
593	1690170	1155234
594	1693342	1152611
595	1696863	1150222
596	1699831	1147457
597	1703275	1145011
598	1706320	1142294
599	1709799	1139866
600	1713005	1137253
601	1716133	1134586
602	1719608	1132147
603	1723684	1130097
604	1727162	1127651
605	1730669	1125220
606	1733529	1122367
607	1737077	1119957
608	1740820	1117669
609	1743963	1114992
610	1747184	1112364
611	1750606	1109861
612	1754158	1107437
613	1757077	1104612
614	1760047	1101818
615	1763259	1099174
616	1766479	1096534
617	1770424	1094340
618	1774343	1092124
619	1778310	1089932
620	1781613	1087329
621	1784775	1084638
622	1788190	1082099
623	1791951	1079765
624	1795181	1077108
625	1798190	1074318
626	1801737	1071847
627	1805468	1069481
628	1809431	1067247
629	1812912	1064726
630	1817044	1062582
631	1820429	1059996
632	1823968	1057498
633	1827682	1055097
634	1830903	1052408
635	1834899	1050162
636	1838764	1047836
637	1842446	1045400
638	1846301	1043059
639	1850121	1040693
640	1858304	1040766
641	1862753	1038731
642	1866341	1036211
643	1870614	1034066
644	1874177	1031523
645	1877833	1029029
646	1882485	1027074
647	1886526	1024779
648	1890222	1022293
649	1894000	1019846
650	1898553	1017811
651	1902272	1015323
652	1905745	1012701
653	1909235	1010084
654	1913563	1007907
655	1917852	1005703
656	1922443	1003650
657	1927085	1001615
658	1933352	1000414
659	1938396	998568
660	1942832	996399
661	1947584	994385
662	1952961	992681
663	1956817	990196
664	1960497	987618
665	1964118	985008
666	1967700	982374
667	1971253	979725
668	1975225	977278
669	1978896	974680
670	1983241	972408
671	1987446	970063
672	1991569	967672
673	1995532	965197
674	1999950	962939
675	2003870	960434
676	2007997	958025
677	2012254	955672
678	2016115	953126
679	2020451	950800
680	2024347	948262
681	2028337	945764
682	2032378	943285
683	2036614	940892
684	2040314	938247
685	2045066	936080
686	2048554	933329
687	2052275	930683
688	2055831	927958
689	2059021	925067
690	2062818	922447
691	2066646	919836
692	2070228	917114
693	2074244	914580
694	2078071	911959
695	2081515	909167
696	2085765	906724
697	2089663	904123
698	2093073	901309
699	2096587	898537
700	2099909	895681
701	2103036	892742
702	2106968	890141
703	2110627	887423
704	2115011	885004
705	2118573	882238
706	2122362	879564
707	2125831	876755
708	2129370	873972
709	2132940	871200
710	2136462	868407
711	2139916	865584
712	2143882	862965
713	2147928	860374
714	2151516	857597
715	2155509	854978
716	2159239	852252
717	2162844	849473
718	2166591	846748
719	2170143	843944
720	2174236	841348
721	2177798	838542
722	2181535	835802
723	2184732	832853
724	2188230	830018
725	2191601	827133
726	2195665	824507
727	2199923	821949
728	2204231	819405
729	2209072	817054
730	2212879	814315
731	2216343	811448
732	2219989	808645
733	2223333	805731
734	2227225	803013
735	2231592	800462
736	2235273	797661
737	2239177	794938
738	2242400	791970
739	2246035	789147
740	2249324	786201
741	2252903	783354
742	2256633	780558
743	2261093	778010
744	2267709	776195
745	2271939	773555
746	2277588	771392
747	2284934	769790
748	2289414	767213
749	2293758	764586
750	2297771	761844
751	2301768	759093
752	2305935	756395
753	2309822	753602
754	2313644	750785
755	2318004	748139
756	2321788	745303
757	2325577	742466
758	2329292	739603
759	2333032	736747
760	2336745	733879
761	2340751	731100
762	2344239	728158
763	2347696	725204
764	2351445	722339
765	2355149	719458
766	2359598	716801
767	2362829	713771
768	2366568	710893
769	2370238	707993
770	2373751	705044
771	2377306	702106
772	2380725	699126
773	2384557	696266
774	2388019	693296
775	2391696	690386
776	2395768	687588
777	2399098	684575
778	2402738	681649
779	2406534	678766
780	2410258	675859
781	2414011	672959
782	2417674	670032
783	2421580	667170
784	2425060	664188
785	2428723	661255
786	2432822	658438
787	2436585	655528
788	2439948	652508
789	2443611	649567
790	2447076	646572
791	2451045	643708
792	2454935	640821
793	2458968	637969
794	2464208	635424
795	2468971	632751
796	2472976	629879
797	2479491	627640
798	2484871	625105
799	2489722	622430
800	2494731	619789
801	2498845	616922
802	2503931	614289
803	2510306	611965
804	2514511	609105
805	2518616	606217
806	2524324	603710
807	2529014	600954
808	2532913	598005
809	2536777	595046
810	2540439	592038
811	2544163	589042
812	2548051	586083
813	2553137	583394
814	2557604	580560
815	2561313	577551
816	2564577	574440
817	2569187	571628
818	2573602	568769
819	2577625	565820
820	2581915	562926
821	2585840	559950
822	2589477	556910
823	2593510	553953
824	2598569	551211
825	2602826	548295
826	2606472	545247
827	2610055	542185
828	2613779	539151
829	2617893	536195
830	2623173	533473
831	2627129	530478
832	2631344	527532
833	2635852	524642
834	2639441	521566
835	2643271	518536
836	2647161	515516
837	2651153	512514
838	2655150	509510
839	2659289	506531
840	2663258	503517
841	2666905	500440
842	2670629	497377
843	2674408	494321
844	2678196	491266
845	2681861	488187
846	2685608	485121
847	2689463	482073
848	2693235	479008
849	2696805	475906
850	2700237	472779
851	2703834	469680
852	2707611	466610
853	2711509	463560
854	2715448	460514
855	2719574	457498
856	2723303	454413
857	2726232	451194
858	2729911	448099
859	2733598	445004
860	2737154	441886
861	2741788	438940
862	2746412	435989
863	2750434	432938
864	2754107	429831
865	2757822	426730
866	2761474	423617
867	2765112	420501
868	2769378	417478
869	2774325	414554
870	2780873	411863
871	2787692	409202
872	2792589	406253
873	2796558	403165
874	2801864	400266
875	2808279	397518
876	2812829	394501
877	2816946	391420
878	2821836	388443
879	2826754	385466
880	2830141	382277
881	2835312	379327
882	2839468	376237
883	2844429	373250
884	2851481	370531
885	2858937	367854
886	2864796	364962
887	2870395	362031
888	2877012	359222
889	2882996	356325
890	2887323	353219
891	2891194	350054
892	2895386	346927
893	2898998	343729
894	2902561	340524
895	2906233	337330
896	2910116	334160
897	2913830	330969
898	2918750	327913
899	2922640	324737
900	2927701	321689
901	2931843	318537
902	2935707	315352
903	2939613	312171
904	2943969	309035
905	2948144	305878
906	2951955	302681
907	2955308	299436
908	2959794	296305
909	2963860	293129
910	2967357	289895
911	2970862	286662
912	2974844	283473
913	2979229	280321
914	2983410	277147
915	2987766	273987
916	2992517	270860
917	2996517	267662
918	3001109	264515
919	3005188	261320
920	3008508	258058
921	3012367	254842
922	3016235	251625
923	3020494	248438
924	3024410	245222
925	3028157	241990
926	3031412	238719
927	3034921	235468
928	3038911	232252
929	3043260	229062
930	3047369	225852
931	3051543	222644
932	3055841	219444
933	3059472	216193
934	3063259	212953
935	3066553	209678
936	3070176	206425
937	3074375	203210
938	3077820	199943
939	3081468	196689
940	3084947	193423
941	3088669	190172
942	3092591	186932
943	3097041	183722
944	3100654	180461
945	3104485	177211
946	3108159	173951
947	3111835	170691
948	3115062	167405
949	3118838	164149
950	3122209	160870
951	3126081	157617
952	3130135	154371
953	3133716	151101
954	3137203	147826
955	3141049	144567
956	3144340	141281
957	3147826	138004
958	3151232	134724
959	3155085	131461
960	3158611	128185
961	3162099	124906
962	3165581	121626
963	3169352	118357
964	3173149	115088
965	3176613	111806
966	3180409	108535
967	3185395	105302
968	3189211	102028
969	3192340	98732
970	3195846	95447
971	3199209	92158
972	3203007	88880
973	3206897	85605
974	3210604	82323
975	3214526	79045
976	3218021	75756
977	3221994	72478
978	3225725	69193
979	3229270	65903
980	3234175	62639
981	3238408	59359
982	3242248	56071
983	3245953	52779
